Site,Weed species,GPS,Latitude,Longitude,Town
Demonstration site,African lovegrass,"-36.208661803300224, 149.15400030525214",-36.2086618,149.1540003,Cooma
Demonstration site,Chilean needle grass,"-31.283492088805303, 151.06037696888052",-31.28349209,151.060377,Tamworth
Demonstration site,Serrated tussock,"-34.86234193442724, 149.17448671159218",-34.86234193,149.1744867,Yass
Adaptation site,African lovegrass,"-36.7777778, 149.6927778",-36.7777778,149.6927778,Candelo
Adaptation site,African lovegrass,"-36.2629262645492, 149.1360047814082",-36.26292626,149.1360048,Cooma
Adaptation site,African lovegrass,"-35.92521263161557, 149.24198372555406",-35.92521263,149.2419837,Bredbo
Adaptation site,African lovegrass,"-35.726530784149645, 149.14978325253273",-35.72653078,149.1497833,Michelago
Adaptation site,African lovegrass,"-30.515590011523255, 152.05226752532892",-30.51559001,152.0522675,Armidale
Adaptation site,African lovegrass,"-34.101885788685415, 148.5149487398311",-34.10188579,148.5149487,Young
Adaptation site,African lovegrass,"-36.281792506439274, 149.20259159858236",-36.28179251,149.2025916,Cooma
Adaptation site,Chilean needle grass,"-30.2610883, 151.7033273",-30.2610883,151.7033273,Guyra
Adaptation site,Chilean needle grass,"-29.9742727, 151.4541497",-29.9742727,151.4541497,Guyra
Adaptation site,Chilean needle grass,"-30.5199634, 151.6521331",-30.5199634,151.6521331,Armidale
Adaptation site,Chilean needle grass,"-30.1826538, 151.3233496",-30.1826538,151.3233496,Guyra
Adaptation site,Chilean needle grass,"-30.2049186, 151.6799809",-30.2049186,151.6799809,Guyra
Adaptation site,Chilean needle grass,"-30.2327752, 151.7928209",-30.2327752,151.7928209,Guyra
Adaptation site,Chilean needle grass,"-30.2769683, 151.8364423",-30.2769683,151.8364423,Guyra
Adaptation site,Serrated tussock,"-35.35779068183372, 149.42520662671683",-35.35779068,149.4252066,Bungendore
Adaptation site,Serrated tussock,"-34.940725490736995, 148.00430194788626",-34.94072549,148.0043019,Gundagai
Adaptation site,Serrated tussock,"-34.86234193442724, 149.17448671159218",-34.86234193,149.1744867,Yass
Adaptation site,Serrated tussock,"-33.20287205949241, 149.42032285550076",-33.20287206,149.4203229,Killongbutta
Adaptation site,Serrated tussock,"-33.15534771308583, 149.3641154000472",-33.15534771,149.3641154,Killongbutta
Adaptation site,Serrated tussock,"-34.06856868297519, 149.60675472901303",-34.06856868,149.6067547,Burraga
Adaptation site,Serrated tussock,"-34.144327970778825, 149.5828613536751",-34.14432797,149.5828614,Fullerton
